"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs73414446-<b>?</b>,"5 x 10-6",,NR,'-,"0.39 unit decrease",[0.22-0.56],CNTLN,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,9:17456712
rs11794666-<b>?</b>,"5 x 10-6",,NR,'-,"0.123 unit increase",[0.052-0.194],HMGB3P23,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,9:31665127
rs191660985-<b>?</b>,"7 x 10-6",,NR,'-,"0.248 unit increase",[0.12-0.37],PTPN3,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,9:109377459
rs7901181-<b>?</b>,"7 x 10-6",,NR,'-,"0.138 unit decrease",[0.05-0.226],LINC02669,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,10:3600363
rs114408555-<b>?</b>,"9 x 10-6",,NR,'-,"0.219 unit decrease",[0.099-0.339],'-,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,10:8795875
rs73279468-<b>?</b>,"7 x 10-6",,NR,'-,"0.318 unit decrease",[0.13-0.5],"CUBNP2, RNU6-1207P","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,10:45227524
rs7088647-<b>?</b>,"7 x 10-6",,NR,'-,"0.174 unit decrease",[0.076-0.272],LINC01374,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,10:90012421
rs7906829-<b>?</b>,"6 x 10-6",,NR,'-,"0.139 unit decrease",[0.063-0.215],"PNLIPP1, PNLIPRP1","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,10:116588374
rs192211484-<b>?</b>,"9 x 10-6",,NR,'-,"0.343 unit decrease",[0.15-0.54],LINC00867,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,10:118452055
rs114031744-<b>?</b>,"1 x 10-6",,NR,'-,"0.229 unit decrease",[0.12-0.34],"GPR26, LINC02641","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,10:123610085
rs77934287-<b>?</b>,"5 x 10-7",,NR,'-,"0.376 unit decrease",[0.17-0.58],TBX5,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,12:23071319
rs80114852-<b>?</b>,"9 x 10-6",,NR,'-,"0.287 unit decrease",[0.13-0.44],RNU6-735P,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,12:95437900
rs448792-<b>?</b>,"6 x 10-7",,NR,'-,"0.211 unit increase",[0.11-0.31],FRY,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,13:32103287
rs9575182-<b>?</b>,"6 x 10-6",,NR,'-,"0.148 unit decrease",[0.066-0.23],GYG1P2,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,13:82832889
rs9555620-<b>?</b>,"8 x 10-6",,NR,'-,"0.31 unit decrease",[0.13-0.49],LINC00676,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,13:109653368
rs7158214-<b>?</b>,"4 x 10-6",,NR,'-,"0.133 unit increase",[0.06-0.206],"C14orf132, BDKRB2","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,14:96176310
rs34745104-<b>?</b>,"9 x 10-6",,NR,'-,"0.212 unit decrease",[0.087-0.337],LINC02691,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,14:104287049
rs7495517-<b>?</b>,"8 x 10-6",,NR,'-,"0.158 unit decrease",[0.042-0.274],GABRG3,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,15:27265527
rs77757620-<b>?</b>,"4 x 10-7",,NR,'-,"0.155 unit increase",[0.081-0.229],STARD9,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,15:42661399
rs16976116-<b>?</b>,"8 x 10-6",,NR,'-,"0.108 unit decrease",[0.035-0.181],RSL24D1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,15:55188269
rs114625006-<b>?</b>,"2 x 10-6",,NR,'-,"0.197 unit increase",[0.085-0.309],MYO1E,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,15:59361839
rs115620807-<b>?</b>,"7 x 10-6",,NR,'-,"0.25 unit decrease",[0.11-0.39],"LINC00927, ARNT2","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,15:80377010
rs7903146-<b>C</b>,"1 x 10-9",,0.61,1.53,'-,[1.39-1.67],TCF7L2,"Schizophrenia vs type 2 diabetes","schizophrenia, type II diabetes mellitus",GCST007223,10:112998590
chr6:163319442-<b>G</b>,"5 x 10-9",,0.91,3.81,'-,[3.32-4.29],'-,"Schizophrenia and type 2 diabetes","schizophrenia, type II diabetes mellitus",GCST007220,"Mapping not available"
rs1449245-<b>A</b>,"3 x 10-8",,0.79,1.96,'-,[1.71-2.20],'-,"Schizophrenia and type 2 diabetes","schizophrenia, type II diabetes mellitus",GCST007220,8:92576112
rs6662618-<b>?</b>,"3 x 10-10",,NR,'-,'-,[1.0965-1.1754],"RN7SL824P, GFI1","Multiple sclerosis and type 2 diabetes (pleiotropy)","multiple sclerosis, type II diabetes mellitus",GCST007120,1:92469854
rs11864333-<b>?</b>,"8 x 10-6",,NR,'-,'-,[1.0444-1.1097],RMI2,"Multiple sclerosis and type 2 diabetes (pleiotropy)","multiple sclerosis, type II diabetes mellitus",GCST007120,16:11381719
rs9966620-<b>A</b>,"7 x 10-8",,0.0964,1.95,'-,[1.71-2.19],TTC39C,"Diabetic maculopathy with decreased visual acuity in type 2 diabetes","visual acuity measurement, diabetic maculopathy, type II diabetes mellitus",GCST008545,18:24100771
rs11706588-<b>C</b>,"7 x 10-7",,0.1305,1.89,'-,[1.64-2.14],CHCHD6,"Diabetic maculopathy with decreased visual acuity in type 2 diabetes","visual acuity measurement, diabetic maculopathy, type II diabetes mellitus",GCST008545,3:126729670
rs35498131-<b>?</b>,"7 x 10-7",,NR,1.7869906,'-,[1.42-2.25],"C16orf72, USP7","Diabetic maculopathy in type 2 diabetes","diabetic maculopathy, type II diabetes mellitus",GCST008546,16:9026952
rs34954281-<b>?</b>,"9 x 10-7",,NR,1.4838997,'-,[1.27-1.74],TNFAIP6,"Diabetic maculopathy in type 2 diabetes","diabetic maculopathy, type II diabetes mellitus",GCST008546,2:151369363
rs1406230-<b>?</b>,"5 x 10-7",,NR,1.4444604,'-,[1.25-1.67],ALK,"Diabetic maculopathy in type 2 diabetes","diabetic maculopathy, type II diabetes mellitus",GCST008546,2:29360455
rs1149833-<b>?</b>,"5 x 10-7",,NR,1.338688,'-,[1.19-1.5],DLEU1,"Diabetic maculopathy in type 2 diabetes","diabetic maculopathy, type II diabetes mellitus",GCST008546,13:50176740
rs12629668-<b>?</b>,"4 x 10-7",,NR,1.397,'-,[1.228-1.591],ZIC1,"Diabetic maculopathy in type 2 diabetes","diabetic maculopathy, type II diabetes mellitus",GCST008546,3:147491392
rs3818329-<b>?</b>,"2 x 10-7",,NR,1.865,'-,[1.474-2.361],RGS13,"Diabetic maculopathy in type 2 diabetes","diabetic maculopathy, type II diabetes mellitus",GCST008546,1:192658630
rs117482282-<b>?</b>,"4 x 10-7",,NR,3.079,'-,[1.991-4.762],RPL17P25,"Diabetic maculopathy in type 2 diabetes","diabetic maculopathy, type II diabetes mellitus",GCST008546,6:165097982
rs614288-<b>T</b>,"2 x 10-8",,NR,'-,"0.05 unit increase",[0.030-0.070],"ALDOAP1, POC1A","Bipolar disorder or type 2 diabetes","bipolar disorder, type II diabetes mellitus",GCST009372,3:52186187
rs6091248-<b>A</b>,"4 x 10-8",,NR,'-,"0.05 unit increase",[0.030-0.070],KCNG1,"Bipolar disorder or type 2 diabetes","bipolar disorder, type II diabetes mellitus",GCST009372,20:51014081
rs1990145-<b>A</b>,"4 x 10-6",,0.268,2.02,'-,[1.50-2.72],'-,"Diabetic macular edema in type 2 diabetes","diabetic macular edema, type II diabetes mellitus",GCST006282,"Mapping not available"
rs4771506-<b>C</b>,"7 x 10-6",,0.263,1.97,'-,[1.46-2.64],LINC00343,"Diabetic macular edema in type 2 diabetes","diabetic macular edema, type II diabetes mellitus",GCST006282,13:105843651
rs918519-<b>?</b>,"4 x 10-6",,0.769,2.86,'-,[1.85-4.55],"IL12B, LINC01845","Proliferative diabetic retinopathy in type 2 diabetes","proliferative diabetic retinopathy, type II diabetes mellitus",GCST006283,5:159399349
rs1158314-<b>G</b>,"4 x 10-6",,0.400,2.16,'-,[1.56-3.00],NRXN3,"Proliferative diabetic retinopathy in type 2 diabetes","proliferative diabetic retinopathy, type II diabetes mellitus",GCST006283,14:79961389
rs9896052-<b>A</b>,"7 x 10-7",(EA),0.294,1.67,'-,[1.30-2.15],"RNU6-938P, Y_RNA","Sight-threatening diabetic retinopathy in type 2 diabetes","diabetic retinopathy, type II diabetes mellitus",GCST003042,17:75422781
rs11099942-<b>?</b>,"4 x 10-6",(Celtic),NR,'-,'-,'-,DCHS2,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,4:154211555
rs9502478-<b>?</b>,"4 x 10-6",(Celtic),NR,'-,'-,'-,"LY86, LY86-AS1","Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,6:6593462
rs2107167-<b>?</b>,"8 x 10-6",(Celtic),NR,'-,'-,'-,EIF3IP1,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,7:109950854
rs34428389-<b>?</b>,"8 x 10-6",,NR,'-,'-,'-,"STIMATE-MUSTN1, STIMATE","Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,3:52860127
rs17447640-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,ATP8A1,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,4:42553794
rs34620785-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,"HSPE1P14, RNU6ATAC8P","Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,8:102440080
rs12743974-<b>?</b>,"5 x 10-6",(Celtic),NR,'-,'-,'-,IL23R,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,1:67242674
rs12736701-<b>?</b>,"8 x 10-6",(Celtic),NR,'-,'-,'-,AK5,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,1:77349740
rs7412314-<b>?</b>,"4 x 10-6",(Celtic),NR,'-,'-,'-,FMO4,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,1:171318113
rs10973627-<b>?</b>,"4 x 10-6",(Celtic),NR,'-,'-,'-,SHB,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,9:37971392
rs10512488-<b>?</b>,"3 x 10-6",(Celtic),NR,'-,'-,'-,BECN1,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,17:42811886
rs340841-<b>?</b>,"9 x 10-6",(Slavic),NR,'-,'-,'-,PROX1-AS1,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,1:213951127
rs12714314-<b>?</b>,"3 x 10-6",(Slavic),NR,'-,'-,'-,MYT1L,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,2:1939845
rs58383906-<b>?</b>,"3 x 10-6",(Slavic),NR,'-,'-,'-,"RBMS3-AS3, RBMS3","Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,3:29204690
rs13166103-<b>?</b>,"4 x 10-6",(Slavic),NR,'-,'-,'-,PLK2,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,5:58446375
rs9384193-<b>?</b>,"9 x 10-6",(Slavic),NR,'-,'-,'-,"OPRM1, IPCEF1","Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,6:154233115
rs11060464-<b>?</b>,"4 x 10-6",(Slavic),NR,'-,'-,'-,TMEM132D,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,12:129613305
rs1754680-<b>?</b>,"8 x 10-6",(Slavic),NR,'-,'-,'-,'-,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,14:38378799
rs13043901-<b>?</b>,"5 x 10-6",(Slavic),NR,'-,'-,'-,"ZNF217, Y_RNA","Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,20:53554244
rs11298745-<b>?</b>,"2 x 10-6",,NR,'-,'-,'-,HDAC9,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,7:18508630
rs35372009-<b>?</b>,"3 x 10-6",,NR,'-,'-,'-,CLEC14A,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,14:38313138
rs148077446-<b>?</b>,"6 x 10-6",,NR,'-,'-,'-,ADAMTS18,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,16:77276712
rs113932007-<b>?</b>,"9 x 10-6",,NR,'-,'-,'-,"RPL12P46, LINC02698","Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,11:115620719
rs35372009-<b>?</b>,"9 x 10-6",(Slavic),NR,'-,'-,'-,CLEC14A,"Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,14:38313138
rs113932007-<b>?</b>,"6 x 10-7",(Celtic),NR,'-,'-,'-,"RPL12P46, LINC02698","Type 2 diabetes (age of onset)","type II diabetes mellitus",GCST004125,11:115620719
rs35260355-<b>T</b>,"4 x 10-7",,0.16,1.66,'-,[1.37-2.02],ZSCAN20,"Neuropathic pain in type 2 diabetes","neuropathic pain, type II diabetes mellitus",GCST003063,1:33480230
rs71647933-<b>G</b>,"3 x 10-7",(females),0.16,2.31,'-,[1.68-3.17],ZSCAN20,"Neuropathic pain in type 2 diabetes","neuropathic pain, type II diabetes mellitus",GCST003063,1:33480000
rs6986153-<b>G</b>,"8 x 10-7",(males),0.19,1.67,'-,[1.34-2.08],'-,"Neuropathic pain in type 2 diabetes","neuropathic pain, type II diabetes mellitus",GCST003063,8:107059816
rs11717195-<b>T</b>,"5 x 10-6",,0.75,1.24,'-,[1.13-1.36],ADCY5,"Type 2 diabetes","type II diabetes mellitus",GCST004758,3:123363551
rs7903146-<b>T</b>,"1 x 10-11",,0.25,1.36,'-,[1.25-1.49],TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST004758,10:112998590
rs163184-<b>G</b>,"1 x 10-7",,0.41,1.24,'-,[1.14-1.34],'-,"Type 2 diabetes","type II diabetes mellitus",GCST004758,"Mapping not available"
rs10830963-<b>G</b>,"2 x 10-7",,0.2,1.28,'-,[1.17-1.41],MTNR1B,"Type 2 diabetes","type II diabetes mellitus",GCST004758,11:92975544
rs7403531-<b>T</b>,"6 x 10-6",,0.33,1.21,'-,[1.11-1.31],RASGRP1,"Type 2 diabetes","type II diabetes mellitus",GCST004758,15:38530704
rs2283228-<b>A</b>,"8 x 10-13",,0.79,1.5,'-,[1.35-1.66],KCNQ1,"Type 2 diabetes","type II diabetes mellitus",GCST004758,11:2828300
"rs2237896-<b>A</b>, rs163184-<b>T</b>, rs1049549-<b>T</b>, rs3888647-<b>G</b>","1 x 10-14",,NR,0.61,'-,'-,"KCNQ1; No mapped genes; No mapped genes; No mapped genes","Type 2 diabetes","type II diabetes mellitus",GCST004758,11:2837210
"rs2237896-<b>A</b>, rs163184-<b>T</b>, rs1049549-<b>T</b>, rs3888647-<b>A</b>","7 x 10-11",,NR,0.38,'-,'-,"KCNQ1; No mapped genes; No mapped genes; No mapped genes","Type 2 diabetes","type II diabetes mellitus",GCST004758,11:2837210
rs1132787-<b>T</b>,"3 x 10-11",,0.16,2.71,'-,[2.02-3.64],GYPA,"Diabetic neuropathy in type 2 diabetes","diabetic neuropathy, type II diabetes mellitus",GCST011163,4:144109393
rs522521-<b>A</b>,"5 x 10-8",,0.56,0.49,'-,[0.38-0.64],"LINC02087, SPECC1P1","Diabetic neuropathy in type 2 diabetes","diabetic neuropathy, type II diabetes mellitus",GCST011163,17:15830231
rs7756992-<b>G</b>,"6 x 10-128",,0.2706,'-,"0.1217 unit increase",[0.11-0.13],'-,"Type 2 diabetes","type II diabetes mellitus",GCST010555,"Mapping not available"
rs6947395-<b>T</b>,"5 x 10-16",,0.2,1.09,'-,1.07-1.12,AUTS2,"Type 2 diabetes","type II diabetes mellitus",GCST007847,7:69941675
rs10965247-<b>A</b>,"1 x 10-87",,0.56,1.19,'-,1.17-1.21,CDKN2B-AS1,"Type 2 diabetes","type II diabetes mellitus",GCST007847,9:22132730
rs10440833-<b>A</b>,"2 x 10-85",,0.42,1.19,'-,1.17-1.21,CDKAL1,"Type 2 diabetes","type II diabetes mellitus",GCST007847,6:20687890
rs2233580-<b>T</b>,"4 x 10-74",,0.09,1.32,'-,1.28-1.36,PAX4,"Type 2 diabetes","type II diabetes mellitus",GCST007847,7:127613496
rs1894299-<b>G</b>,"9 x 10-58",,0.68,1.13,'-,1.11-1.15,DUSP9,"Type 2 diabetes","type II diabetes mellitus",GCST007847,X:153643433
rs7901695-<b>C</b>,"3 x 10-49",,0.04,1.34,'-,1.29-1.40,TCF7L2,"Type 2 diabetes","type II diabetes mellitus",GCST007847,10:112994329
rs13092876-<b>A</b>,"6 x 10-39",,0.34,1.14,'-,1.12-1.16,IGF2BP2,"Type 2 diabetes","type II diabetes mellitus",GCST007847,3:185777532
rs12219514-<b>A</b>,"5 x 10-39",,0.13,1.18,'-,1.15-1.21,"Y_RNA, HHEX","Type 2 diabetes","type II diabetes mellitus",GCST007847,10:92706682
rs11390176-<b>T</b>,"1 x 10-14",,0.44,1.06,'-,1.04-1.07,IL13RA1,"Type 2 diabetes","type II diabetes mellitus",GCST007847,X:118781201
rs34204798-<b>C</b>,"3 x 10-14",,0.56,1.07,'-,1.05-1.09,ZMIZ1,"Type 2 diabetes","type II diabetes mellitus",GCST007847,10:79191374
rs791595-<b>A</b>,"4 x 10-14",,0.07999999999999996,1.1235955,'-,[1.09-1.16],"LEP, MIR129-1","Type 2 diabetes","type II diabetes mellitus",GCST007847,7:128222749
rs746673-<b>G</b>,"4 x 10-14",,0.41,1.07,'-,1.05-1.10,"PHGR1, CCDC9B","Type 2 diabetes","type II diabetes mellitus",GCST007847,15:40344217
rs9394574-<b>A</b>,"4 x 10-14",,0.82,1.09,'-,1.07-1.12,GLP1R,"Type 2 diabetes","type II diabetes mellitus",GCST007847,6:39071364
rs33981001-<b>GGT</b>,"8 x 10-23",,0.44,1.09,'-,1.07-1.11,ANK1,"Type 2 diabetes","type II diabetes mellitus",GCST007847,8:41655130
rs28624681-<b>C</b>,"6 x 10-21",,0.88,1.14,'-,1.11-1.18,GPSM1,"Type 2 diabetes","type II diabetes mellitus",GCST007847,9:136343450
